"small.zip","Region","Rural.urban"
"03705","North","Rural"
"03017","North","Rural"
"03901","North","Rural"
"03906","North","Rural"
"03908","North","Rural"
"03905","North","Rural"
"03931","North","Rural"
"03921","North","Rural"
"03946","North","Rural"
"03802","North","Rural"
"03932","North","Rural"
"03943","North","Rural"
"03904","North","Rural"
"03925","North","Rural"
"03928","North","Rural"
"03927","North","Rural"
"03918","North","Rural"
"03014","North","Rural"
"03013","North","Rural"
"03902","North","Rural"
"03903","North","Rural"
"03926","North","Rural"
"03924","North","Rural"
"03400","North","Rural"
"03401","North","Rural"
"03402","North","Rural"
"03403","North","Rural"
"03831","North","Rural"
"03701","North","Rural"
"03833","North","Rural"
"03832","North","Rural"
"03828","North","Rural"
"03835","North","Rural"
"03941","North","Rural"
"27011","Kanto","Urban"
"28925","Kanto","Rural"
"28905","Kanto","Rural"
"28927","Kanto","Rural"
"28926","Kanto","Rural"
"26000","Kanto","Urban"
"26008","Kanto","Urban"
"26200","Kanto","Urban"
"26300","Kanto","Urban"
"26600","Kanto","Urban"
"26700","Kanto","Urban"
"26100","Kanto","Urban"
"26171","Kanto","Urban"
"26400","Kanto","Urban"
"26500","Kanto","Urban"
"29701","Kanto","Rural"
"29943","Kanto","Rural"
"28800","Kanto","Rural"
"28808","Kanto","Rural"
"27300","Kanto","Urban"
"27308","Kanto","Urban"
"27400","Kanto","Urban"
"27408","Kanto","Urban"
"27014","Kanto","Urban"
"29300","Kanto","Rural"
"29916","Kanto","Rural"
"29917","Kanto","Rural"
"29918","Kanto","Rural"
"29000","Kanto","Urban"
"29002","Kanto","Urban"
"29901","Kanto","Urban"
"29005","Kanto","Urban"
"29001","Kanto","Urban"
"27200","Kanto","Urban"
"27201","Kanto","Urban"
"27208","Kanto","Urban"
"27013","Kanto","Rural"
"27023","Kanto","Rural"
"27016","Kanto","Rural"
"29800","Kanto","Rural"
"29801","Kanto","Rural"
"29946","Kanto","Rural"
"29945","Kanto","Rural"
"27301","Kanto","Urban"
"29600","Kanto","Rural"
"29955","Kanto","Rural"
"29928","Kanto","Rural"
"29601","Kanto","Rural"
"29602","Kanto","Rural"
"27700","Kanto","Urban"
"27708","Kanto","Urban"
"27709","Kanto","Urban"
"28700","Kanto","Rural"
"28903","Kanto","Rural"
"28701","Kanto","Rural"
"28708","Kanto","Rural"
"28904","Kanto","Rural"
"29952","Kanto","Rural"
"29911","Kanto","Rural"
"29204","Kanto","Rural"
"29211","Kanto","Rural"
"29205","Kanto","Rural"
"29200","Kanto","Urban"
"29202","Kanto","Urban"
"29208","Kanto","Urban"
"29902","Kanto","Urban"
"28901","Kanto","Urban"
"28902","Kanto","Rural"
"28301","Kanto","Rural"
"29921","Kanto","Rural"
"29919","Kanto","Rural"
"27000","Kanto","Urban"
"27022","Kanto","Urban"
"27100","Kanto","Urban"
"29924","Kanto","Rural"
"29408","Kanto","Rural"
"29922","Kanto","Rural"
"29925","Kanto","Rural"
"29501","Kanto","Rural"
"29500","Kanto","Rural"
"29927","Kanto","Rural"
"29700","Kanto","Rural"
"29941","Kanto","Rural"
"29944","Kanto","Rural"
"29702","Kanto","Rural"
"27001","Kanto","Urban"
"27500","Kanto","Urban"
"28600","Kanto","Urban"
"28608","Kanto","Urban"
"28702","Kanto","Urban"
"28601","Kanto","Urban"
"28200","Kanto","Urban"
"27800","Kanto","Urban"
"27002","Kanto","Urban"
"29932","Kanto","Rural"
"29951","Kanto","Rural"
"29802","Kanto","Rural"
"27015","Kanto","Rural"
"28500","Kanto","Urban"
"28508","Kanto","Urban"
"28913","Kanto","Rural"
"28912","Kanto","Rural"
"28918","Kanto","Rural"
"28915","Kanto","Rural"
"28916","Kanto","Rural"
"29942","Kanto","Rural"
"28509","Kanto","Rural"
"28921","Kanto","Rural"
"28931","Kanto","Rural"
"28922","Kanto","Rural"
"28923","Kanto","Rural"
"29400","Kanto","Rural"
"29402","Kanto","Rural"
"29403","Kanto","Rural"
"28300","Kanto","Rural"
"28308","Kanto","Rural"
"28602","Kanto","Rural"
"28906","Kanto","Rural"
"27900","Kanto","Urban"
"28911","Kanto","Rural"
"27600","Kanto","Urban"
"28917","Kanto","Rural"
"28400","Kanto","Rural"
"79841","South","Rural"
"79837","South","Rural"
"79843","South","Rural"
"79844","South","Rural"
"79842","South","Rural"
"79603","South","Rural"
"79605","South","Rural"
"79608","South","Rural"
"79606","South","Rural"
"79604","South","Rural"
"79400","South","Urban"
"79916","South","Urban"
"79408","South","Urban"
"79921","South","Urban"
"79922","South","Urban"
"79413","South","Urban"
"79414","South","Urban"
"79915","South","Urban"
"79923","South","Urban"
"79411","South","Urban"
"79401","South","Urban"
"79423","South","Urban"
"79200","South","Urban"
"79422","South","Urban"
"79421","South","Urban"
"79931","South","Rural"
"79132","South","Rural"
"79933","South","Rural"
"79932","South","Rural"
"79425","South","Rural"
"79424","South","Rural"
"79813","South","Rural"
"79815","South","Rural"
"79112","South","Rural"
"79117","South","Rural"
"79115","South","Rural"
"79118","South","Rural"
"79131","South","Rural"
"79821","South","Rural"
"79100","South","Urban"
"79000","South","Urban"
"79924","South","Urban"
"79180","South","Urban"
"79101","South","Urban"
"79008","South","Urban"
"79009","South","Urban"
"79111","South","Urban"
"79926","South","Urban"
"79026","South","Urban"
"79145","South","Urban"
"79102","South","Urban"
"79143","South","Urban"
"79144","South","Urban"
"79208","South","Urban"
"79906","South","Urban"
"79500","South","Rural"
"79934","South","Rural"
"79716","South","Rural"
"79715","South","Rural"
"79300","South","Urban"
"79913","South","Urban"
"79301","South","Urban"
"79302","South","Urban"
"79911","South","Urban"
"79105","South","Urban"
"79700","South","Rural"
"79701","South","Rural"
"79702","South","Rural"
"79717","South","Rural"
"79712","South","Rural"
"79711","South","Rural"
"79713","South","Rural"
"79714","South","Rural"
"79609","South","Rural"
"79904","South","Rural"
"79901","South","Rural"
"79903","South","Rural"
"79907","South","Rural"
"79121","South","Rural"
"79122","South","Rural"
"79103","South","Rural"
"79133","South","Rural"
"79503","South","Rural"
"79135","South","Rural"
"79800","South","Rural"
"79802","South","Rural"
"79801","South","Rural"
"79833","South","Rural"
"79832","South","Rural"
"79811","South","Rural"
"79937","South","Rural"
"79600","South","Rural"
"79680","South","Rural"
"79601","South","Rural"
"79602","South","Rural"
"91906","Chubu","Rural"
"91908","Chubu","Rural"
"91042","Chubu","Rural"
"91041","Chubu","Rural"
"91907","Chubu","Rural"
"92206","Chubu","Rural"
"91602","Chubu","Rural"
"91601","Chubu","Rural"
"91603","Chubu","Rural"
"91604","Chubu","Rural"
"91500","Chubu","Rural"
"91502","Chubu","Rural"
"91512","Chubu","Rural"
"91508","Chubu","Rural"
"91011","Chubu","Rural"
"91013","Chubu","Rural"
"91012","Chubu","Rural"
"91800","Chubu","Urban"
"91036","Chubu","Urban"
"91035","Chubu","Urban"
"91024","Chubu","Urban"
"91880","Chubu","Urban"
"91023","Chubu","Urban"
"91032","Chubu","Urban"
"91881","Chubu","Urban"
"91001","Chubu","Urban"
"91021","Chubu","Urban"
"91000","Chubu","Urban"
"91034","Chubu","Urban"
"91882","Chubu","Urban"
"91031","Chubu","Urban"
"91903","Chubu","Urban"
"91008","Chubu","Urban"
"91022","Chubu","Urban"
"91033","Chubu","Urban"
"91025","Chubu","Rural"
"91100","Chubu","Rural"
"91108","Chubu","Rural"
"91911","Chubu","Rural"
"91912","Chubu","Rural"
"91902","Chubu","Rural"
"91901","Chubu","Rural"
"91511","Chubu","Rural"
"91700","Chubu","Rural"
"91701","Chubu","Rural"
"91702","Chubu","Rural"
"91703","Chubu","Rural"
"91921","Chubu","Rural"
"91200","Chubu","Rural"
"91202","Chubu","Rural"
"91201","Chubu","Rural"
"91208","Chubu","Rural"
"91204","Chubu","Rural"
"91600","Chubu","Rural"
"91612","Chubu","Rural"
"91611","Chubu","Rural"
"91002","Chubu","Rural"
"91905","Chubu","Rural"
"91904","Chubu","Rural"
"91003","Chubu","Rural"
"91300","Chubu","Rural"
"91922","Chubu","Rural"
"91923","Chubu","Rural"
"91400","Chubu","Rural"
"91402","Chubu","Rural"
"91403","Chubu","Rural"
"91401","Chubu","Rural"
"91408","Chubu","Rural"
"91913","Chubu","Rural"
"91915","Chubu","Rural"
"91914","Chubu","Rural"
"82404","South","Rural"
"83800","South","Rural"
"83813","South","Rural"
"83815","South","Rural"
"80701","South","Rural"
"82800","South","Rural"
"83300","South","Rural"
"82901","South","Rural"
"82903","South","Rural"
"81800","South","Urban"
"83802","South","Rural"
"83808","South","Rural"
"81801","South","Rural"
"82212","South","Rural"
"82211","South","Rural"
"81000","South","Urban"
"81200","South","Urban"
"81208","South","Urban"
"81008","South","Urban"
"81300","South","Urban"
"81103","South","Urban"
"81102","South","Urban"
"81401","South","Urban"
"81500","South","Urban"
"81113","South","Urban"
"81900","South","Urban"
"81903","South","Urban"
"81901","South","Urban"
"81902","South","Urban"
"81400","South","Urban"
"81111","South","Urban"
"81132","South","Rural"
"81133","South","Rural"
"81135","South","Rural"
"83401","South","Rural"
"81125","South","Rural"
"82000","South","Urban"
"82007","South","Urban"
"82001","South","Urban"
"82011","South","Urban"
"82213","South","Rural"
"81911","South","Rural"
"81915","South","Rural"
"81913","South","Rural"
"81916","South","Rural"
"82002","South","Rural"
"82003","South","Rural"
"82005","South","Rural"
"82100","South","Rural"
"80003","South","Urban"
"81600","South","Urban"
"81608","South","Urban"
"81123","South","Rural"
"82214","South","Rural"
"82700","South","Rural"
"82600","South","Rural"
"82006","South","Rural"
"80200","South","Urban"
"80308","South","Urban"
"80002","South","Urban"
"80208","South","Urban"
"80301","South","Urban"
"80302","South","Urban"
"80209","South","Urban"
"80000","South","Rural"
"80001","South","Rural"
"80108","South","Rural"
"80400","South","Rural"
"80800","South","Rural"
"80801","South","Rural"
"80500","South","Rural"
"80600","South","Urban"
"80708","South","Urban"
"80711","South","Urban"
"80700","South","Urban"
"80712","South","Urban"
"81131","South","Rural"
"87109","South","Rural"
"87102","South","Rural"
"80713","South","Rural"
"83900","South","Urban"
"83908","South","Urban"
"83000","South","Urban"
"83011","South","Urban"
"83002","South","Urban"
"83912","South","Urban"
"83001","South","Urban"
"82408","South","Rural"
"82401","South","Rural"
"82402","South","Rural"
"83500","South","Rural"
"83902","South","Rural"
"83501","South","Rural"
"82300","South","Rural"
"82201","South","Rural"
"81134","South","Rural"
"81141","South","Rural"
"81137","South","Rural"
"81112","South","Rural"
"80900","South","Rural"
"82200","South","Rural"
"83801","South","Rural"
"81142","South","Rural"
"83100","South","Rural"
"83004","South","Rural"
"83600","South","Urban"
"83608","South","Urban"
"83709","South","Urban"
"81143","South","Rural"
"81609","South","Rural"
"82405","South","Rural"
"81124","South","Rural"
"81122","South","Rural"
"81101","South","Rural"
"82406","South","Rural"
"82407","South","Rural"
"81121","South","Rural"
"83012","South","Rural"
"82500","South","Rural"
"83817","South","Rural"
"83816","South","Rural"
"83914","South","Rural"
"83913","South","Rural"
"83400","South","Rural"
"83412","South","Rural"
"83411","South","Rural"
"83402","South","Rural"
"83414","South","Rural"
"83200","South","Rural"
"83208","South","Rural"
"87100","South","Rural"
"87108","South","Rural"
"82400","South","Rural"
"96965","North","Rural"
"96962","North","Rural"
"96963","North","Rural"
"96961","North","Urban"
"96960","North","Urban"
"96964","North","Rural"
"96500","North","Urban"
"96508","North","Urban"
"96951","North","Urban"
"96934","North","Urban"
"96501","North","Urban"
"96502","North","Urban"
"96362","North","Rural"
"96933","North","Rural"
"96006","North","Rural"
"96004","North","Rural"
"96009","North","Rural"
"96005","North","Rural"
"96007","North","Rural"
"96008","North","Urban"
"96000","North","Urban"
"96081","North","Urban"
"96021","North","Urban"
"96080","North","Urban"
"96002","North","Urban"
"96013","North","Urban"
"96082","North","Urban"
"96011","North","Urban"
"96001","North","Urban"
"96012","North","Urban"
"96022","North","Urban"
"96383","North","Rural"
"97914","North","Rural"
"96354","North","Rural"
"96353","North","Rural"
"96355","North","Rural"
"96705","North","Rural"
"96381","North","Rural"
"96382","North","Rural"
"97904","North","Rural"
"96016","North","Rural"
"96018","North","Rural"
"96017","North","Rural"
"96931","North","Rural"
"96932","North","Rural"
"96922","North","Rural"
"96926","North","Rural"
"96927","North","Rural"
"96378","North","Rural"
"97000","North","Urban"
"97482","North","Urban"
"97080","North","Urban"
"97181","North","Urban"
"97002","North","Urban"
"97384","North","Urban"
"97003","North","Urban"
"97903","North","Urban"
"97931","North","Urban"
"97901","North","Urban"
"97932","North","Urban"
"97283","North","Urban"
"97001","North","Urban"
"97402","North","Urban"
"97401","North","Urban"
"97202","North","Urban"
"97201","North","Urban"
"97013","North","Urban"
"97012","North","Urban"
"97011","North","Urban"
"97902","North","Urban"
"96901","North","Rural"
"96904","North","Rural"
"96800","North","Rural"
"96803","North","Rural"
"97916","North","Rural"
"96014","North","Rural"
"96015","North","Rural"
"97912","North","Rural"
"96600","North","Rural"
"96608","North","Rural"
"96601","North","Rural"
"96609","North","Rural"
"96935","North","Rural"
"96943","North","Rural"
"96941","North","Rural"
"96604","North","Rural"
"96605","North","Rural"
"96916","North","Rural"
"96300","North","Urban"
"96380","North","Urban"
"96306","North","Urban"
"96301","North","Urban"
"96388","North","Urban"
"96313","North","Urban"
"96307","North","Urban"
"96302","North","Urban"
"96305","North","Urban"
"96316","North","Urban"
"96314","North","Urban"
"96315","North","Urban"
"96311","North","Urban"
"96312","North","Urban"
"96308","North","Urban"
"96309","North","Urban"
"96917","North","Rural"
"96377","North","Rural"
"96700","North","Rural"
"96706","North","Rural"
"96703","North","Rural"
"97500","North","Rural"
"97921","North","Rural"
"97923","North","Rural"
"97924","North","Rural"
"96975","North","Rural"
"96974","North","Rural"
"96911","North","Rural"
"96912","North","Rural"
"96101","North","Rural"
"97915","North","Rural"
"97917","North","Rural"
"97906","North","Rural"
"97905","North","Rural"
"96400","North","Rural"
"96409","North","Rural"
"96408","North","Rural"
"96401","North","Rural"
"96915","North","Rural"
"96403","North","Rural"
"96402","North","Rural"
"96914","North","Rural"
"96404","North","Rural"
"96944","North","Rural"
"96947","North","Rural"
"96945","North","Rural"
"96946","North","Rural"
"96100","North","Rural"
"96180","North","Rural"
"97913","North","Rural"
"96334","North","Rural"
"96335","North","Rural"
"96333","North","Rural"
"96913","North","Rural"
"96384","North","Rural"
"96953","North","Rural"
"96952","North","Rural"
"97927","North","Rural"
"97926","North","Rural"
"96109","North","Rural"
"96108","North","Rural"
"96104","North","Rural"
"96903","North","Rural"
"96103","North","Rural"
"96801","North","Rural"
"96802","North","Rural"
"97600","North","Rural"
"97925","North","Rural"
"97601","North","Rural"
"96200","North","Rural"
"96208","North","Rural"
"96207","North","Rural"
"96203","North","Rural"
"96202","North","Rural"
"96204","North","Rural"
"96201","North","Rural"
"96804","North","Rural"
"96806","North","Rural"
"96363","North","Rural"
"96343","North","Rural"
"96341","North","Rural"
"96336","North","Rural"
"96346","North","Rural"
"96344","North","Rural"
"96342","North","Rural"
"96345","North","Rural"
"96347","North","Rural"
"96361","North","Rural"
"96356","North","Rural"
"96205","North","Rural"
"96206","North","Rural"
"97911","North","Rural"
"96902","North","Rural"
"96351","North","Rural"
"96352","North","Rural"
"96972","North","Rural"
"96973","North","Rural"
"50301","Chubu","Urban"
"50972","Chubu","Rural"
"50977","Chubu","Rural"
"50982","Chubu","Rural"
"50974","Chubu","Rural"
"50975","Chubu","Rural"
"50978","Chubu","Rural"
"50971","Chubu","Rural"
"50976","Chubu","Rural"
"50922","Chubu","Rural"
"50931","Chubu","Rural"
"50921","Chubu","Rural"
"50924","Chubu","Rural"
"50916","Chubu","Rural"
"50923","Chubu","Rural"
"50925","Chubu","Rural"
"50926","Chubu","Rural"
"50000","Chubu","Urban"
"50081","Chubu","Urban"
"50080","Chubu","Urban"
"50088","Chubu","Urban"
"50082","Chubu","Urban"
"50111","Chubu","Urban"
"50131","Chubu","Urban"
"50084","Chubu","Urban"
"50083","Chubu","Urban"
"50200","Chubu","Urban"
"50209","Chubu","Urban"
"50125","Chubu","Urban"
"50208","Chubu","Urban"
"50101","Chubu","Urban"
"50161","Chubu","Urban"
"50160","Chubu","Urban"
"50323","Chubu","Rural"
"50142","Chubu","Rural"
"50151","Chubu","Rural"
"50152","Chubu","Rural"
"50153","Chubu","Rural"
"50144","Chubu","Rural"
"50141","Chubu","Rural"
"50143","Chubu","Rural"
"50146","Chubu","Rural"
"50145","Chubu","Rural"
"50162","Chubu","Rural"
"50163","Chubu","Rural"
"50904","Chubu","Rural"
"50905","Chubu","Rural"
"50611","Chubu","Rural"
"50612","Chubu","Rural"
"50943","Chubu","Rural"
"50602","Chubu","Rural"
"50942","Chubu","Rural"
"50945","Chubu","Rural"
"50944","Chubu","Rural"
"50913","Chubu","Rural"
"50106","Chubu","Rural"
"50107","Chubu","Rural"
"50108","Chubu","Rural"
"50325","Chubu","Rural"
"50109","Chubu","Rural"
"50113","Chubu","Rural"
"50324","Chubu","Rural"
"50306","Chubu","Rural"
"50304","Chubu","Rural"
"50305","Chubu","Rural"
"50303","Chubu","Rural"
"50400","Chubu","Urban"
"50901","Chubu","Urban"
"50409","Chubu","Urban"
"50408","Chubu","Urban"
"50902","Chubu","Rural"
"50501","Chubu","Rural"
"50903","Chubu","Rural"
"50104","Chubu","Rural"
"50137","Chubu","Rural"
"50500","Chubu","Rural"
"50102","Chubu","Rural"
"50103","Chubu","Rural"
"50961","Chubu","Rural"
"50964","Chubu","Rural"
"50963","Chubu","Rural"
"50962","Chubu","Rural"
"50112","Chubu","Rural"
"50115","Chubu","Rural"
"50800","Chubu","Rural"
"50973","Chubu","Rural"
"50992","Chubu","Rural"
"50804","Chubu","Rural"
"50802","Chubu","Rural"
"50801","Chubu","Rural"
"50991","Chubu","Rural"
"50803","Chubu","Rural"
"50983","Chubu","Rural"
"50805","Chubu","Rural"
"50300","Chubu","Urban"
"50322","Chubu","Urban"
"50309","Chubu","Urban"
"50308","Chubu","Urban"
"50316","Chubu","Urban"
"50105","Chubu","Rural"
"50132","Chubu","Rural"
"50138","Chubu","Rural"
"50139","Chubu","Rural"
"50129","Chubu","Rural"
"50136","Chubu","Rural"
"50135","Chubu","Rural"
"50128","Chubu","Rural"
"50126","Chubu","Rural"
"50315","Chubu","Rural"
"50911","Chubu","Rural"
"50912","Chubu","Rural"
"50914","Chubu","Rural"
"50156","Chubu","Rural"
"50155","Chubu","Rural"
"50700","Chubu","Urban"
"50708","Chubu","Urban"
"50709","Chubu","Urban"
"50600","Chubu","Rural"
"50608","Chubu","Rural"
"50933","Chubu","Rural"
"50935","Chubu","Rural"
"50614","Chubu","Rural"
"50613","Chubu","Rural"
"50927","Chubu","Rural"
"50601","Chubu","Rural"
"50932","Chubu","Rural"
"50941","Chubu","Rural"
