"","Postal.Code","Region","Rural.urban"
"122",4441211,"Chubu","Urban"
"123",4441162,"Chubu","Urban"
"124",4441222,"Chubu","Urban"
"125",4441223,"Chubu","Urban"
"126",4441152,"Chubu","Urban"
"127",4460074,"Chubu","Urban"
"128",4460017,"Chubu","Urban"
"129",4460054,"Chubu","Urban"
"130",4460021,"Chubu","Urban"
"131",4460024,"Chubu","Urban"
"132",4460004,"Chubu","Urban"
"133",4460059,"Chubu","Urban"
"134",4441224,"Chubu","Urban"
"135",4460071,"Chubu","Urban"
"136",4460057,"Chubu","Urban"
"137",4441214,"Chubu","Urban"
"138",4441215,"Chubu","Urban"
"139",4460003,"Chubu","Urban"
"140",4460061,"Chubu","Urban"
"141",4460016,"Chubu","Urban"
"142",4460062,"Chubu","Urban"
"143",4460066,"Chubu","Urban"
"144",4460056,"Chubu","Urban"
"145",4441201,"Chubu","Urban"
"146",4441221,"Chubu","Urban"
"147",4441212,"Chubu","Urban"
"148",4441163,"Chubu","Urban"
"149",4460008,"Chubu","Urban"
"150",4460005,"Chubu","Urban"
"151",4460012,"Chubu","Urban"
"152",4460075,"Chubu","Urban"
"153",4460036,"Chubu","Urban"
"154",4460026,"Chubu","Urban"
"155",4441166,"Chubu","Urban"
"156",4441155,"Chubu","Urban"
"157",4460014,"Chubu","Urban"
"158",4460064,"Chubu","Urban"
"159",4460001,"Chubu","Urban"
"160",4441225,"Chubu","Urban"
"161",4460007,"Chubu","Urban"
"162",4460018,"Chubu","Urban"
"163",4460027,"Chubu","Urban"
"164",4460035,"Chubu","Urban"
"165",4460076,"Chubu","Urban"
"166",4460055,"Chubu","Urban"
"167",4460051,"Chubu","Urban"
"168",4460043,"Chubu","Urban"
"169",4460019,"Chubu","Urban"
"170",4460025,"Chubu","Urban"
"171",4460038,"Chubu","Urban"
"172",4460065,"Chubu","Urban"
"173",4441206,"Chubu","Urban"
"174",4441204,"Chubu","Urban"
"175",4460000,"Chubu","Urban"
"176",4460037,"Chubu","Urban"
"177",4460046,"Chubu","Urban"
"178",4460032,"Chubu","Urban"
"179",4441202,"Chubu","Urban"
"180",4441154,"Chubu","Urban"
"181",4441165,"Chubu","Urban"
"182",4460045,"Chubu","Urban"
"183",4441151,"Chubu","Urban"
"184",4460052,"Chubu","Urban"
"185",4460073,"Chubu","Urban"
"186",4441203,"Chubu","Urban"
"187",4460053,"Chubu","Urban"
"188",4460063,"Chubu","Urban"
"189",4460058,"Chubu","Urban"
"190",4460031,"Chubu","Urban"
"191",4460023,"Chubu","Urban"
"192",4460015,"Chubu","Urban"
"193",4441205,"Chubu","Urban"
"194",4441161,"Chubu","Urban"
"195",4460072,"Chubu","Urban"
"196",4460034,"Chubu","Urban"
"197",4460033,"Chubu","Urban"
"198",4460039,"Chubu","Urban"
"199",4441153,"Chubu","Urban"
"200",4441164,"Chubu","Urban"
"201",4460041,"Chubu","Urban"
"202",4441213,"Chubu","Urban"
"203",4460022,"Chubu","Urban"
"204",4460006,"Chubu","Urban"
"205",4460044,"Chubu","Urban"
"206",4460002,"Chubu","Urban"
"207",4460013,"Chubu","Urban"
"208",4720005,"Chubu","Rural"
"209",4720031,"Chubu","Rural"
"210",4720011,"Chubu","Rural"
"211",4720054,"Chubu","Rural"
"212",4720027,"Chubu","Rural"
"213",4720052,"Chubu","Rural"
"214",4720041,"Chubu","Rural"
"215",4720007,"Chubu","Rural"
"216",4720057,"Chubu","Rural"
"217",4720013,"Chubu","Rural"
"218",4720003,"Chubu","Rural"
"219",4720023,"Chubu","Rural"
"220",4720037,"Chubu","Rural"
"221",4720033,"Chubu","Rural"
"222",4720025,"Chubu","Rural"
"223",4720044,"Chubu","Rural"
"224",4720006,"Chubu","Rural"
"225",4720042,"Chubu","Rural"
"226",4720058,"Chubu","Rural"
"227",4720026,"Chubu","Rural"
"228",4720036,"Chubu","Rural"
"229",4720046,"Chubu","Rural"
"230",4720043,"Chubu","Rural"
"231",4720016,"Chubu","Rural"
"232",4720002,"Chubu","Rural"
"233",4720032,"Chubu","Rural"
"234",4720034,"Chubu","Rural"
"235",4720051,"Chubu","Rural"
"236",4720021,"Chubu","Rural"
"237",4720047,"Chubu","Rural"
"238",4720001,"Chubu","Rural"
"239",4720017,"Chubu","Rural"
"240",4720053,"Chubu","Rural"
"241",4720004,"Chubu","Rural"
"242",4720038,"Chubu","Rural"
"243",4720035,"Chubu","Rural"
"244",4720015,"Chubu","Rural"
"245",4720000,"Chubu","Rural"
"246",4720022,"Chubu","Rural"
"247",4720045,"Chubu","Rural"
"248",4720055,"Chubu","Rural"
"249",4720024,"Chubu","Rural"
"250",4720012,"Chubu","Rural"
"251",4720014,"Chubu","Rural"
"252",4720056,"Chubu","Rural"
"253",4780051,"Chubu","Rural"
"254",4780057,"Chubu","Rural"
"255",4780062,"Chubu","Rural"
"256",4780031,"Chubu","Rural"
"257",4780014,"Chubu","Rural"
"258",4780000,"Chubu","Rural"
"259",4780055,"Chubu","Rural"
"260",4780068,"Chubu","Rural"
"261",4780021,"Chubu","Rural"
"262",4780052,"Chubu","Rural"
"263",4780042,"Chubu","Rural"
"264",4780058,"Chubu","Rural"
"265",4780032,"Chubu","Rural"
"266",4780033,"Chubu","Rural"
"267",4780056,"Chubu","Rural"
"268",4780002,"Chubu","Rural"
"269",4780012,"Chubu","Rural"
"270",4780069,"Chubu","Rural"
"271",4780065,"Chubu","Rural"
"272",4780059,"Chubu","Rural"
"273",4780028,"Chubu","Rural"
"274",4780066,"Chubu","Rural"
"275",4780037,"Chubu","Rural"
"276",4780054,"Chubu","Rural"
"277",4780003,"Chubu","Rural"
"278",4780036,"Chubu","Rural"
"279",4780053,"Chubu","Rural"
"280",4780067,"Chubu","Rural"
"281",4780013,"Chubu","Rural"
"282",4780043,"Chubu","Rural"
"283",4780047,"Chubu","Rural"
"284",4780024,"Chubu","Rural"
"285",4780026,"Chubu","Rural"
"286",4780027,"Chubu","Rural"
"287",4780005,"Chubu","Rural"
"288",4780004,"Chubu","Rural"
"289",4780018,"Chubu","Rural"
"290",4780063,"Chubu","Rural"
"291",4780022,"Chubu","Rural"
"292",4780006,"Chubu","Rural"
"293",4780045,"Chubu","Rural"
"294",4780035,"Chubu","Rural"
"295",4780015,"Chubu","Rural"
"296",4780064,"Chubu","Rural"
"297",4780017,"Chubu","Rural"
"298",4780011,"Chubu","Rural"
"299",4780060,"Chubu","Rural"
"300",4780044,"Chubu","Rural"
"301",4780023,"Chubu","Rural"
"302",4780001,"Chubu","Rural"
"303",4780034,"Chubu","Rural"
"304",4780061,"Chubu","Rural"
"305",4780016,"Chubu","Rural"
"306",4780041,"Chubu","Rural"
"307",4780046,"Chubu","Rural"
"308",4780025,"Chubu","Rural"
"309",4430014,"Chubu","Rural"
"310",4430057,"Chubu","Rural"
"311",4430005,"Chubu","Rural"
"312",4430048,"Chubu","Rural"
"313",4430013,"Chubu","Rural"
"314",4430002,"Chubu","Rural"
"315",4430037,"Chubu","Rural"
"316",4430044,"Chubu","Rural"
"317",4430042,"Chubu","Rural"
"318",4430043,"Chubu","Rural"
"319",4430008,"Chubu","Rural"
"320",4430101,"Chubu","Rural"
"321",4430038,"Chubu","Rural"
"322",4430106,"Chubu","Rural"
"323",4430032,"Chubu","Rural"
"324",4430031,"Chubu","Rural"
"325",4430046,"Chubu","Rural"
"326",4430056,"Chubu","Rural"
"327",4430011,"Chubu","Rural"
"328",4430105,"Chubu","Rural"
"329",4430104,"Chubu","Rural"
"330",4430041,"Chubu","Rural"
"331",4430000,"Chubu","Rural"
"332",4430058,"Chubu","Rural"
"333",4430052,"Chubu","Rural"
"334",4430012,"Chubu","Rural"
"335",4430004,"Chubu","Rural"
"336",4430054,"Chubu","Rural"
"337",4430033,"Chubu","Rural"
"338",4430047,"Chubu","Rural"
"339",4430003,"Chubu","Rural"
"340",4430001,"Chubu","Rural"
"341",4430034,"Chubu","Rural"
"342",4430051,"Chubu","Rural"
"343",4430021,"Chubu","Rural"
"344",4430036,"Chubu","Rural"
"345",4430055,"Chubu","Rural"
"346",4430103,"Chubu","Rural"
"347",4430059,"Chubu","Rural"
"348",4430053,"Chubu","Rural"
"349",4430007,"Chubu","Rural"
"350",4430035,"Chubu","Rural"
"351",4430006,"Chubu","Rural"
"352",4430022,"Chubu","Rural"
"353",4430102,"Chubu","Rural"
"354",4430045,"Chubu","Rural"
"355",4750858,"Chubu","Urban"
"356",4750936,"Chubu","Urban"
"357",4750001,"Chubu","Urban"
"358",4750044,"Chubu","Urban"
"359",4750945,"Chubu","Urban"
"360",4750958,"Chubu","Urban"
"361",4750067,"Chubu","Urban"
"362",4750011,"Chubu","Urban"
"363",4750915,"Chubu","Urban"
"364",4750043,"Chubu","Urban"
"365",4750952,"Chubu","Urban"
"366",4750845,"Chubu","Urban"
"367",4750061,"Chubu","Urban"
"368",4750014,"Chubu","Urban"
"369",4750018,"Chubu","Urban"
"370",4750004,"Chubu","Urban"
"371",4750941,"Chubu","Urban"
"372",4750953,"Chubu","Urban"
"373",4750923,"Chubu","Urban"
"374",4750855,"Chubu","Urban"
"375",4750046,"Chubu","Urban"
"376",4750053,"Chubu","Urban"
"377",4750867,"Chubu","Urban"
"378",4750851,"Chubu","Urban"
"379",4750929,"Chubu","Urban"
"380",4750063,"Chubu","Urban"
"381",4750873,"Chubu","Urban"
"382",4750064,"Chubu","Urban"
"383",4750933,"Chubu","Urban"
"384",4750935,"Chubu","Urban"
"385",4750951,"Chubu","Urban"
"386",4750957,"Chubu","Urban"
"387",4750056,"Chubu","Urban"
"388",4750068,"Chubu","Urban"
"389",4750000,"Chubu","Urban"
"390",4750836,"Chubu","Urban"
"391",4750048,"Chubu","Urban"
"392",4750031,"Chubu","Urban"
"393",4750058,"Chubu","Urban"
"394",4750834,"Chubu","Urban"
"395",4750835,"Chubu","Urban"
"396",4750848,"Chubu","Urban"
"397",4750012,"Chubu","Urban"
"398",4750033,"Chubu","Urban"
"399",4750086,"Chubu","Urban"
"400",4750856,"Chubu","Urban"
"401",4750911,"Chubu","Urban"
"402",4750842,"Chubu","Urban"
"403",4750944,"Chubu","Urban"
"404",4750838,"Chubu","Urban"
"405",4750039,"Chubu","Urban"
"406",4750042,"Chubu","Urban"
"407",4750062,"Chubu","Urban"
"408",4750074,"Chubu","Urban"
"409",4750967,"Chubu","Urban"
"410",4750963,"Chubu","Urban"
"411",4750903,"Chubu","Urban"
"412",4750965,"Chubu","Urban"
"413",4750038,"Chubu","Urban"
"414",4750019,"Chubu","Urban"
"415",4750912,"Chubu","Urban"
"416",4750077,"Chubu","Urban"
"417",4750007,"Chubu","Urban"
"418",4750087,"Chubu","Urban"
"419",4750065,"Chubu","Urban"
"420",4750017,"Chubu","Urban"
"421",4750054,"Chubu","Urban"
"422",4750821,"Chubu","Urban"
"423",4750803,"Chubu","Urban"
"424",4750816,"Chubu","Urban"
"425",4750822,"Chubu","Urban"
"426",4750052,"Chubu","Urban"
"427",4750045,"Chubu","Urban"
"428",4750878,"Chubu","Urban"
"429",4750975,"Chubu","Urban"
"430",4750819,"Chubu","Urban"
"431",4750964,"Chubu","Urban"
"432",4750081,"Chubu","Urban"
"433",4750013,"Chubu","Urban"
"434",4750843,"Chubu","Urban"
"435",4750976,"Chubu","Urban"
"436",4750057,"Chubu","Urban"
"437",4750083,"Chubu","Urban"
"438",4750815,"Chubu","Urban"
"439",4750024,"Chubu","Urban"
"440",4750824,"Chubu","Urban"
"441",4750826,"Chubu","Urban"
"442",4750831,"Chubu","Urban"
"443",4750954,"Chubu","Urban"
"444",4750009,"Chubu","Urban"
"445",4750802,"Chubu","Urban"
"446",4750015,"Chubu","Urban"
"447",4750978,"Chubu","Urban"
"448",4750051,"Chubu","Urban"
"449",4750008,"Chubu","Urban"
"450",4750968,"Chubu","Urban"
"451",4750805,"Chubu","Urban"
"452",4750852,"Chubu","Urban"
"453",4750916,"Chubu","Urban"
"454",4750813,"Chubu","Urban"
"455",4750921,"Chubu","Urban"
"456",4750859,"Chubu","Urban"
"457",4750041,"Chubu","Urban"
"458",4750047,"Chubu","Urban"
"459",4750066,"Chubu","Urban"
"460",4750857,"Chubu","Urban"
"461",4750035,"Chubu","Urban"
"462",4750971,"Chubu","Urban"
"463",4750088,"Chubu","Urban"
"464",4750884,"Chubu","Urban"
"465",4750082,"Chubu","Urban"
"466",4750931,"Chubu","Urban"
"467",4750076,"Chubu","Urban"
"468",4750022,"Chubu","Urban"
"469",4750029,"Chubu","Urban"
"470",4750914,"Chubu","Urban"
"471",4750924,"Chubu","Urban"
"472",4750817,"Chubu","Urban"
"473",4750075,"Chubu","Urban"
"474",4750881,"Chubu","Urban"
"475",4750904,"Chubu","Urban"
"476",4750877,"Chubu","Urban"
"477",4750887,"Chubu","Urban"
"478",4750883,"Chubu","Urban"
"479",4750948,"Chubu","Urban"
"480",4750084,"Chubu","Urban"
"481",4750844,"Chubu","Urban"
"482",4750003,"Chubu","Urban"
"483",4750023,"Chubu","Urban"
"484",4750871,"Chubu","Urban"
"485",4750825,"Chubu","Urban"
"486",4750868,"Chubu","Urban"
"487",4750016,"Chubu","Urban"
"488",4750874,"Chubu","Urban"
"489",4750037,"Chubu","Urban"
"490",4750071,"Chubu","Urban"
"491",4750026,"Chubu","Urban"
"492",4750078,"Chubu","Urban"
"493",4750886,"Chubu","Urban"
"494",4750866,"Chubu","Urban"
"495",4750972,"Chubu","Urban"
"496",4750034,"Chubu","Urban"
"497",4750847,"Chubu","Urban"
"498",4750807,"Chubu","Urban"
"499",4750833,"Chubu","Urban"
"500",4750862,"Chubu","Urban"
"501",4750028,"Chubu","Urban"
"502",4750025,"Chubu","Urban"
"503",4750801,"Chubu","Urban"
"504",4750036,"Chubu","Urban"
"505",4750943,"Chubu","Urban"
"506",4750925,"Chubu","Urban"
"507",4750869,"Chubu","Urban"
"508",4750973,"Chubu","Urban"
"509",4750942,"Chubu","Urban"
"510",4750861,"Chubu","Urban"
"511",4750876,"Chubu","Urban"
"512",4750854,"Chubu","Urban"
"513",4750928,"Chubu","Urban"
"514",4750853,"Chubu","Urban"
"515",4750917,"Chubu","Urban"
"516",4750974,"Chubu","Urban"
"517",4750027,"Chubu","Urban"
"518",4750864,"Chubu","Urban"
"519",4750865,"Chubu","Urban"
"520",4750882,"Chubu","Urban"
"521",4750939,"Chubu","Urban"
"522",4750927,"Chubu","Urban"
"523",4750828,"Chubu","Urban"
"524",4750085,"Chubu","Urban"
"525",4750806,"Chubu","Urban"
"526",4750804,"Chubu","Urban"
"527",4750906,"Chubu","Urban"
"528",4750875,"Chubu","Urban"
"529",4750846,"Chubu","Urban"
"530",4750937,"Chubu","Urban"
"531",4750073,"Chubu","Urban"
"532",4750902,"Chubu","Urban"
"533",4750872,"Chubu","Urban"
"534",4750926,"Chubu","Urban"
"535",4750946,"Chubu","Urban"
"536",4750977,"Chubu","Urban"
"537",4750956,"Chubu","Urban"
"538",4750947,"Chubu","Urban"
"539",4750021,"Chubu","Urban"
"540",4750885,"Chubu","Urban"
"541",4750814,"Chubu","Urban"
"542",4750823,"Chubu","Urban"
"543",4750934,"Chubu","Urban"
"544",4750863,"Chubu","Urban"
"545",4750922,"Chubu","Urban"
"546",4750832,"Chubu","Urban"
"547",4750955,"Chubu","Urban"
"548",4750072,"Chubu","Urban"
"549",4750055,"Chubu","Urban"
"550",4750938,"Chubu","Urban"
"551",4750961,"Chubu","Urban"
"552",4750901,"Chubu","Urban"
"553",4750918,"Chubu","Urban"
"554",4750827,"Chubu","Urban"
"555",4750002,"Chubu","Urban"
"556",4750905,"Chubu","Urban"
"557",4750006,"Chubu","Urban"
"558",4750808,"Chubu","Urban"
"559",4750837,"Chubu","Urban"
"560",4750959,"Chubu","Urban"
"561",4750841,"Chubu","Urban"
"562",4750032,"Chubu","Urban"
"563",4750005,"Chubu","Urban"
"564",4750962,"Chubu","Urban"
"565",4750932,"Chubu","Urban"
"566",4750966,"Chubu","Urban"
"567",4470064,"Chubu","Rural"
"568",4470843,"Chubu","Rural"
"569",4470035,"Chubu","Rural"
"570",4470882,"Chubu","Rural"
"571",4470848,"Chubu","Rural"
"572",4470801,"Chubu","Rural"
"573",4470029,"Chubu","Rural"
"574",4470859,"Chubu","Rural"
"575",4470851,"Chubu","Rural"
"576",4470055,"Chubu","Rural"
"577",4470031,"Chubu","Rural"
"578",4470021,"Chubu","Rural"
"579",4470066,"Chubu","Rural"
"580",4470077,"Chubu","Rural"
"581",4470002,"Chubu","Rural"
"582",4470831,"Chubu","Rural"
"583",4470856,"Chubu","Rural"
"584",4470858,"Chubu","Rural"
"585",4470871,"Chubu","Rural"
"586",4470876,"Chubu","Rural"
"587",4470047,"Chubu","Rural"
"588",4470878,"Chubu","Rural"
"589",4470081,"Chubu","Rural"
"590",4470842,"Chubu","Rural"
"591",4470832,"Chubu","Rural"
"592",4470041,"Chubu","Rural"
"593",4470071,"Chubu","Rural"
"594",4470846,"Chubu","Rural"
"595",4470829,"Chubu","Rural"
"596",4470023,"Chubu","Rural"
"597",4470007,"Chubu","Rural"
"598",4470013,"Chubu","Rural"
"599",4470837,"Chubu","Rural"
"600",4470805,"Chubu","Rural"
"601",4470869,"Chubu","Rural"
"602",4470079,"Chubu","Rural"
"603",4470862,"Chubu","Rural"
"604",4470866,"Chubu","Rural"
"605",4470054,"Chubu","Rural"
"606",4470835,"Chubu","Rural"
"607",4470026,"Chubu","Rural"
"608",4470038,"Chubu","Rural"
"609",4470006,"Chubu","Rural"
"610",4470084,"Chubu","Rural"
"611",4470046,"Chubu","Rural"
"612",4470051,"Chubu","Rural"
"613",4470011,"Chubu","Rural"
"614",4470067,"Chubu","Rural"
"615",4470821,"Chubu","Rural"
"616",4470063,"Chubu","Rural"
"617",4470814,"Chubu","Rural"
"618",4470022,"Chubu","Rural"
"619",4470844,"Chubu","Rural"
"620",4470083,"Chubu","Rural"
"621",4470812,"Chubu","Rural"
"622",4470864,"Chubu","Rural"
"623",4470082,"Chubu","Rural"
"624",4470883,"Chubu","Rural"
"625",4470072,"Chubu","Rural"
"626",4470076,"Chubu","Rural"
"627",4470037,"Chubu","Rural"
"628",4470863,"Chubu","Rural"
"629",4470052,"Chubu","Rural"
"630",4470048,"Chubu","Rural"
"631",4470845,"Chubu","Rural"
"632",4470865,"Chubu","Rural"
"633",4470015,"Chubu","Rural"
"634",4470889,"Chubu","Rural"
"635",4470884,"Chubu","Rural"
"636",4470823,"Chubu","Rural"
"637",4470875,"Chubu","Rural"
"638",4470817,"Chubu","Rural"
"639",4470852,"Chubu","Rural"
"640",4470027,"Chubu","Rural"
"641",4470867,"Chubu","Rural"
"642",4470075,"Chubu","Rural"
"643",4470815,"Chubu","Rural"
"644",4470834,"Chubu","Rural"
"645",4470088,"Chubu","Rural"
"646",4470057,"Chubu","Rural"
"647",4470033,"Chubu","Rural"
"648",4470042,"Chubu","Rural"
"649",4470068,"Chubu","Rural"
"650",4470024,"Chubu","Rural"
"651",4470836,"Chubu","Rural"
"652",4470885,"Chubu","Rural"
"653",4470841,"Chubu","Rural"
"654",4470017,"Chubu","Rural"
"655",4470005,"Chubu","Rural"
"656",4470818,"Chubu","Rural"
"657",4470825,"Chubu","Rural"
"658",4470849,"Chubu","Rural"
"659",4470853,"Chubu","Rural"
"660",4470826,"Chubu","Rural"
"661",4470813,"Chubu","Rural"
"662",4470822,"Chubu","Rural"
"663",4470073,"Chubu","Rural"
"664",4470056,"Chubu","Rural"
"665",4470887,"Chubu","Rural"
"666",4470061,"Chubu","Rural"
"667",4470016,"Chubu","Rural"
"668",4470827,"Chubu","Rural"
"669",4470868,"Chubu","Rural"
"670",4470808,"Chubu","Rural"
"671",4470008,"Chubu","Rural"
"672",4470802,"Chubu","Rural"
"673",4470811,"Chubu","Rural"
"674",4470804,"Chubu","Rural"
"675",4470855,"Chubu","Rural"
"676",4470861,"Chubu","Rural"
"677",4470058,"Chubu","Rural"
"678",4470074,"Chubu","Rural"
"679",4470857,"Chubu","Rural"
"680",4470078,"Chubu","Rural"
"681",4470816,"Chubu","Rural"
"682",4470032,"Chubu","Rural"
"683",4470000,"Chubu","Rural"
"684",4470873,"Chubu","Rural"
"685",4470872,"Chubu","Rural"
"686",4470886,"Chubu","Rural"
"687",4470034,"Chubu","Rural"
"688",4470012,"Chubu","Rural"
"689",4470854,"Chubu","Rural"
"690",4470824,"Chubu","Rural"
"691",4470087,"Chubu","Rural"
"692",4470085,"Chubu","Rural"
"693",4470803,"Chubu","Rural"
"694",4470828,"Chubu","Rural"
"695",4470004,"Chubu","Rural"
"696",4470014,"Chubu","Rural"
"697",4470809,"Chubu","Rural"
"698",4470833,"Chubu","Rural"
"699",4470025,"Chubu","Rural"
"700",4470838,"Chubu","Rural"
"701",4470062,"Chubu","Rural"
"702",4470043,"Chubu","Rural"
"703",4470879,"Chubu","Rural"
"704",4470877,"Chubu","Rural"
"705",4470001,"Chubu","Rural"
"706",4470053,"Chubu","Rural"
"707",4470807,"Chubu","Rural"
"708",4470045,"Chubu","Rural"
"709",4470044,"Chubu","Rural"
"710",4470036,"Chubu","Rural"
"711",4470086,"Chubu","Rural"
"712",4470028,"Chubu","Rural"
"713",4470847,"Chubu","Rural"
"714",4470881,"Chubu","Rural"
"715",4470806,"Chubu","Rural"
"716",4470874,"Chubu","Rural"
"717",4470888,"Chubu","Rural"
"718",4470003,"Chubu","Rural"
"719",4470065,"Chubu","Rural"
"720",4910143,"Chubu","Urban"
"721",4910804,"Chubu","Urban"
"722",4910814,"Chubu","Urban"
"723",4910105,"Chubu","Urban"
"724",4910028,"Chubu","Urban"
"725",4910373,"Chubu","Urban"
"726",4940002,"Chubu","Urban"
"727",4910114,"Chubu","Urban"
"728",4910811,"Chubu","Urban"
"729",4910374,"Chubu","Urban"
"730",4910102,"Chubu","Urban"
"731",4910141,"Chubu","Urban"
"732",4910871,"Chubu","Urban"
"733",4910111,"Chubu","Urban"
"734",4910806,"Chubu","Urban"
"735",4940001,"Chubu","Urban"
"736",4910101,"Chubu","Urban"
"737",4910801,"Chubu","Urban"
"738",4910053,"Chubu","Urban"
"739",4910904,"Chubu","Urban"
"740",4910371,"Chubu","Urban"
"741",4910815,"Chubu","Urban"
"742",4910846,"Chubu","Urban"
"743",4910015,"Chubu","Urban"
"744",4910851,"Chubu","Urban"
"745",4910142,"Chubu","Urban"
"746",4910035,"Chubu","Urban"
"747",4910201,"Chubu","Urban"
"748",4910882,"Chubu","Urban"
"749",4910000,"Chubu","Urban"
"750",4910802,"Chubu","Urban"
"751",4910816,"Chubu","Urban"
"752",4940014,"Chubu","Urban"
"753",4910372,"Chubu","Urban"
"754",4940003,"Chubu","Urban"
"755",4910856,"Chubu","Urban"
"756",4910043,"Chubu","Urban"
"757",4910933,"Chubu","Urban"
"758",4910132,"Chubu","Urban"
"759",4910817,"Chubu","Urban"
"760",4910044,"Chubu","Urban"
"761",4910938,"Chubu","Urban"
"762",4910023,"Chubu","Urban"
"763",4910376,"Chubu","Urban"
"764",4910052,"Chubu","Urban"
"765",4910859,"Chubu","Urban"
"766",4910838,"Chubu","Urban"
"767",4910115,"Chubu","Urban"
"768",4910002,"Chubu","Urban"
"769",4910103,"Chubu","Urban"
"770",4910835,"Chubu","Urban"
"771",4910812,"Chubu","Urban"
"772",4910855,"Chubu","Urban"
"773",4910803,"Chubu","Urban"
"774",4910104,"Chubu","Urban"
"775",4910045,"Chubu","Urban"
