Names R,Names Stata,Label
GHG_H2,ghg_h2,"GHG_H2: Greenhouse gases are gases that trap heat in the atmosphere and make the Earth warmer, causing climate change. In particular, the burning of fossil fuels and agricultural production emit greenhouse gases. 

Which of the following elements contribute to climate change? (Multiple answers are possible) - Hydrogen"
GHG_methane,ghg_methane,"GHG_methane: Greenhouse gases are gases that trap heat in the atmosphere and make the Earth warmer, causing climate change. In particular, the burning of fossil fuels and agricultural production emit greenhouse gases. 

Which of the following elements contribute to climate change? (Multiple answers are possible) - Methane"
GHG_particulates,ghg_particulates,"GHG_particulates: Greenhouse gases are gases that trap heat in the atmosphere and make the Earth warmer, causing climate change. In particular, the burning of fossil fuels and agricultural production emit greenhouse gases. 

Which of the following elements contribute to climate change? (Multiple answers are possible) - Particulate matter"
CC_dynamic,cc_dynamic,
footprint_tr_car,footprint_tr_car,"footprint_tr_car: If a family of 4 travels 500 miles from New York to Toronto, with which mode of transportation do they emit the most greenhouse gases?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Car (running on diesel or gasoline)"
footprint_tr_coach,footprint_tr_coach,"footprint_tr_coach: If a family of 4 travels 500 miles from New York to Toronto, with which mode of transportation do they emit the most greenhouse gases?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Coach"
footprint_tr_plane,footprint_tr_plane,"footprint_tr_plane: If a family of 4 travels 500 miles from New York to Toronto, with which mode of transportation do they emit the most greenhouse gases?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Plane"
footprint_tr_order_car,footprint_tr_order_car,"footprint_tr_order_car: If a family of 4 travels 500 miles from New York to Toronto, with which mode of transportation do they emit the most greenhouse gases?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Display Order - Car (running on diesel or gasoline)"
footprint_tr_order_coach,footprint_tr_order_coach,"footprint_tr_order_coach: If a family of 4 travels 500 miles from New York to Toronto, with which mode of transportation do they emit the most greenhouse gases?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Display Order - Coach"
footprint_tr_order_plane,footprint_tr_order_plane,"footprint_tr_order_plane: If a family of 4 travels 500 miles from New York to Toronto, with which mode of transportation do they emit the most greenhouse gases?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Display Order - Plane"
footprint_fd_beef,footprint_fd_beef,"footprint_fd_beef: Which dish emits the most greenhouse gases? We consider that each dish weighs half a pound.


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - A beef steak"
footprint_fd_pasta,footprint_fd_pasta,"footprint_fd_pasta: Which dish emits the most greenhouse gases? We consider that each dish weighs half a pound.


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - One serving of pasta"
footprint_fd_chicken,footprint_fd_chicken,"footprint_fd_chicken: Which dish emits the most greenhouse gases? We consider that each dish weighs half a pound.


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Chicken wings"
footprint_fd_order_beef,footprint_fd_order_beef,"footprint_fd_order_beef: Which dish emits the most greenhouse gases? We consider that each dish weighs half a pound.


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Display Order - A beef steak"
footprint_fd_order_pasta,footprint_fd_order_pasta,"footprint_fd_order_pasta: Which dish emits the most greenhouse gases? We consider that each dish weighs half a pound.


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Display Order - One serving of pasta"
footprint_fd_order_chicken,footprint_fd_order_chicken,"footprint_fd_order_chicken: Which dish emits the most greenhouse gases? We consider that each dish weighs half a pound.


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Display Order - Chicken wings"
footprint_el_gas,footprint_el_gas,"footprint_el_gas: Which source of electric energy emits the most greenhouse gases to provide power for a house?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Gas-fired power plant"
footprint_el_nuclear,footprint_el_nuclear,"footprint_el_nuclear: Which source of electric energy emits the most greenhouse gases to provide power for a house?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Nuclear power plant"
footprint_el_coal,footprint_el_coal,"footprint_el_coal: Which source of electric energy emits the most greenhouse gases to provide power for a house?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Coal-fired power station"
footprint_el_order_gas,footprint_el_order_gas,"footprint_el_order_gas: Which source of electric energy emits the most greenhouse gases to provide power for a house?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Display Order - Gas-fired power plant"
footprint_el_order_nuclear,footprint_el_order_nuclear,"footprint_el_order_nuclear: Which source of electric energy emits the most greenhouse gases to provide power for a house?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Display Order - Nuclear power plant"
footprint_el_order_coal,footprint_el_order_coal,"footprint_el_order_coal: Which source of electric energy emits the most greenhouse gases to provide power for a house?


Please rank the items from 1 (most) to 3 (least) (by clicking and dragging the items). - Display Order - Coal-fired power station"
footprint_reg_US,footprint_reg_us,footprint_reg_US: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - The U.S.
footprint_reg_EU,footprint_reg_eu,footprint_reg_EU: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - The European Union
footprint_reg_china,footprint_reg_china,footprint_reg_china: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - China
footprint_reg_india,footprint_reg_india,footprint_reg_india: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - India
footprint_reg_order_US,footprint_reg_order_us,footprint_reg_order_US: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - Display Order - The U.S.
footprint_reg_order_EU,footprint_reg_order_eu,footprint_reg_order_EU: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - Display Order - The European Union
footprint_reg_order_china,footprint_reg_order_china,footprint_reg_order_china: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - Display Order - China
footprint_reg_order_india,footprint_reg_order_india,footprint_reg_order_india: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - Display Order - India
footprint_pc_US,footprint_pc_us,"footprint_pc_US: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - The U.S."
footprint_pc_EU,footprint_pc_eu,"footprint_pc_EU: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - The European Union"
footprint_pc_china,footprint_pc_china,"footprint_pc_china: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - China"
footprint_pc_india,footprint_pc_india,"footprint_pc_india: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - India"
footprint_pc_order_US,footprint_pc_order_us,"footprint_pc_order_US: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - Display Order - The U.S."
footprint_pc_order_EU,footprint_pc_order_eu,"footprint_pc_order_EU: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - Display Order - The European Union"
footprint_pc_order_china,footprint_pc_order_china,"footprint_pc_order_china: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - Display Order - China"
footprint_pc_order_india,footprint_pc_order_india,"footprint_pc_order_india: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - Display Order - India"
CC_impacts_droughts,cc_impacts_droughts,
CC_impacts_volcanos,cc_impacts_volcanos,
CC_impacts_sea_rise,cc_impacts_sea_rise,
CC_impacts_low_yield,cc_impacts_low_yield,
CC_impacts_drop_conso,cc_impacts_drop_conso,
CC_impacts_more_migration,cc_impacts_more_migration,
CC_impacts_more_wars,cc_impacts_more_wars,
CC_impacts_extinction,cc_impacts_extinction,
responsible_CC_each,responsible_cc_each,
responsible_CC_rich,responsible_cc_rich,
responsible_CC_govt,responsible_cc_govt,
responsible_CC_companies,responsible_cc_companies,
responsible_CC_past,responsible_cc_past,
responsible_CC_order_each,responsible_cc_order_each,responsible_CC_order_each: To what extent are the following groups responsible for climate change in [Country]? - Display Order - Each of us
responsible_CC_order_rich,responsible_cc_order_rich,responsible_CC_order_rich: To what extent are the following groups responsible for climate change in [Country]? - Display Order - The high income earners
responsible_CC_order_govt,responsible_cc_order_govt,responsible_CC_order_govt: To what extent are the following groups responsible for climate change in [Country]? - Display Order - The [Country] government
responsible_CC_order_companies,responsible_cc_order_compani_132,responsible_CC_order_companies: To what extent are the following groups responsible for climate change in [Country]? - Display Order - Companies
responsible_CC_order_past,responsible_cc_order_past,responsible_CC_order_past: To what extent are the following groups responsible for climate change in [Country]? - Display Order - Previous generations
net_zero_feasible,net_zero_feasible,
CC_affects_self,cc_affects_self,
CC_will_end,cc_will_end,
effect_halt_CC_economy,effect_halt_cc_economy,
effect_halt_CC_lifestyle,effect_halt_cc_lifestyle,
willing_limit_flying,willing_limit_flying,
willing_limit_driving,willing_limit_driving,
willing_electric_car,willing_electric_car,
willing_limit_beef,willing_limit_beef,
willing_limit_heating,willing_limit_heating,
condition_ambitious_policies,condition_ambitious_policies,
condition_financial_aid,condition_financial_aid,
condition_people_change,condition_people_change,
condition_rich_change,condition_rich_change,
standard_effect_less_emission,standard_effect_less_emissio_148,
standard_effect_less_pollution,standard_effect_less_polluti_149,
standard_negative_effect,standard_negative_effect,
standard_large_effect,standard_large_effect,
standard_cost_effective,standard_cost_effective,
standard_win_lose_poor,standard_win_lose_poor,
standard_win_lose_middle,standard_win_lose_middle,
standard_win_lose_rich,standard_win_lose_rich,
standard_win_lose_rural,standard_win_lose_rural,
standard_win_lose_self,standard_win_lose_self,
standard_fair,standard_fair,
standard_support,standard_support,
standard_public_transport_support,standard_public_transport_su_160,
investments_effect_elec_greener,investments_effect_elec_gree_161,
investments_effect_public_transport,investments_effect_public_tr_162,
investments_effect_less_pollution,investments_effect_less_poll_163,
investments_negative_effect,investments_negative_effect,
investments_large_effect,investments_large_effect,
investments_cost_effective,investments_cost_effective,
investments_win_lose_poor,investments_win_lose_poor,
investments_win_lose_middle,investments_win_lose_middle,
investments_win_lose_rich,investments_win_lose_rich,
investments_win_lose_rural,investments_win_lose_rural,
investments_win_lose_self,investments_win_lose_self,
investments_fair,investments_fair,
investments_support,investments_support,
investments_funding_debt,investments_funding_debt,"investments_funding_debt: Until now, we have considered that a green infrastructure program would be financed by public debt, but other sources of funding are possible.
 
What sources of funding do you find appropriate for public investments in green infrastructure? (Multiple answers are possible) - Additional public debt"
investments_funding_sales_tax,investments_funding_sales_ta_175,"investments_funding_sales_tax: Until now, we have considered that a green infrastructure program would be financed by public debt, but other sources of funding are possible.
 
What sources of funding do you find appropriate for public investments in green infrastructure? (Multiple answers are possible) - Increase in sales taxes"
investments_funding_wealth_tax,investments_funding_wealth_t_176,"investments_funding_wealth_tax: Until now, we have considered that a green infrastructure program would be financed by public debt, but other sources of funding are possible.
 
What sources of funding do you find appropriate for public investments in green infrastructure? (Multiple answers are possible) - Increase in taxes on the wealthiest"
investments_funding_less_social,investments_funding_less_soc_177,"investments_funding_less_social: Until now, we have considered that a green infrastructure program would be financed by public debt, but other sources of funding are possible.
 
What sources of funding do you find appropriate for public investments in green infrastructure? (Multiple answers are possible) - Reduction in social spending"
investments_funding_less_military,investments_funding_less_mil_178,"investments_funding_less_military: Until now, we have considered that a green infrastructure program would be financed by public debt, but other sources of funding are possible.
 
What sources of funding do you find appropriate for public investments in green infrastructure? (Multiple answers are possible) - Reduction in military spending"
Q142_First,q142_first,Q142_First: Timing - First Click
Q142_Last,q142_last,Q142_Last: Timing - Last Click
duration_tax_transfers,duration_tax_transfers,duration_tax_transfers: Timing - Page Submit
Q142_Click,q142_click,Q142_Click: Timing - Click Count
tax_transfers_effect_driving,tax_transfers_effect_driving,
tax_transfers_effect_insulation,tax_transfers_effect_insulat_184,
tax_transfers_effect_less_emission,tax_transfers_effect_less_em_185,
tax_transfers_effect_less_pollution,tax_transfers_effect_less_po_186,
tax_transfers_negative_effect,tax_transfers_negative_effec_187,
tax_transfers_large_effect,tax_transfers_large_effect,
tax_transfers_cost_effective,tax_transfers_cost_effective,
tax_transfers_win_lose_poor,tax_transfers_win_lose_poor,
tax_transfers_win_lose_middle,tax_transfers_win_lose_middl_191,
tax_transfers_win_lose_rich,tax_transfers_win_lose_rich,
tax_transfers_win_lose_rural,tax_transfers_win_lose_rural,
tax_transfers_win_lose_self,tax_transfers_win_lose_self,
tax_transfers_fair,tax_transfers_fair,
tax_transfers_support,tax_transfers_support,
duration_policies,duration_policies,duration_policies: Timing - Page Submit
attention_test,attention_test,"attention_test: To show that you are attentive, please select ""a little"" in the following list:"
policy_tax_flying,policy_tax_flying,
policy_tax_fuels,policy_tax_fuels,
policy_ban_city_centers,policy_ban_city_centers,
policy_subsidies,policy_subsidies,
policy_climate_fund,policy_climate_fund,
policy_order_tax_flying,policy_order_tax_flying,policy_order_tax_flying: Do you support or oppose the following climate policies? - Display Order - A tax on flying (that increases ticket prices by 20%)
policy_order_tax_fuels,policy_order_tax_fuels,policy_order_tax_fuels: Do you support or oppose the following climate policies? - Display Order - A national tax on fossil fuels (increasing gasoline prices by 40cts per gallon)
policy_order_ban_city_centers,policy_order_ban_city_center_206,"policy_order_ban_city_centers: Do you support or oppose the following climate policies? - Display Order - A ban of polluting vehicles in dense areas, like city centers"
policy_order_subsidies,policy_order_subsidies,"policy_order_subsidies: Do you support or oppose the following climate policies? - Display Order - Subsidies for low-carbon technologies (renewable energy, capture and storage of carbon...)"
policy_order_climate_fund,policy_order_climate_fund,policy_order_climate_fund: Do you support or oppose the following climate policies? - Display Order - A contribution to a global climate fund to finance clean energy in low-income countries
tax_transfer_constrained_hh,tax_transfer_constrained_hh,
tax_transfer_poor,tax_transfer_poor,
tax_transfer_all,tax_transfer_all,
tax_reduction_personal_tax,tax_reduction_personal_tax,
tax_reduction_corporate_tax,tax_reduction_corporate_tax,
tax_rebates_affected_firms,tax_rebates_affected_firms,
tax_investments,tax_investments,
tax_subsidies,tax_subsidies,
tax_reduction_deficit,tax_reduction_deficit,
tax_order_transfers_constrained_hh,tax_order_transfers_constrai_218,"tax_order_transfers_constrained_hh: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - Cash transfers to households with no alternative to using fossil fuels"
tax_order_transfers_poor,tax_order_transfers_poor,"tax_order_transfers_poor: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - Cash transfers to the poorest households"
tax_order_transfers_all,tax_order_transfers_all,"tax_order_transfers_all: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - Equal cash transfers to all households"
tax_order_reduction_personal_tax,tax_order_reduction_personal_221,"tax_order_reduction_personal_tax: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - A reduction in personal income taxes"
tax_order_reduction_corporate_tax,tax_order_reduction_corporat_222,"tax_order_reduction_corporate_tax: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - A reduction in corporate income taxes"
tax_order_rebates_affected_firms,tax_order_rebates_affected_f_223,"tax_order_rebates_affected_firms: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - Tax rebates for the most affected firms"
tax_order_investments,tax_order_investments,"tax_order_investments: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - Funding environmental infrastructure projects (public transport, cycling ways, etc.)"
tax_order_subsidies,tax_order_subsidies,"tax_order_subsidies: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - Subsidizing low-carbon technologies, including renewable energy"
tax_order_reduction_deficit,tax_order_reduction_deficit,"tax_order_reduction_deficit: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - A reduction in the public deficit"
wtp_10,wtp_10,
wtp_30,wtp_30,
wtp_50,wtp_50,
wtp_100,wtp_100,
wtp_300,wtp_300,
wtp_500,wtp_500,
wtp_1000,wtp_1000,
donation,donation,"donation: By taking this survey, you are automatically entered into a lottery to win $100. In a few days you will know whether you have been selected in the lottery. The payment will be made to you in the same way as your compensation for this survey, so no further action is required on your part. 

  
You can also donate a part of this additional compensation (should you be selected in the lottery) to a reforestation project through the charity The Gold Standard. This charity has already proven effective to reduce 151 million tons of CO2 to fight climate change and has been carefully selected by our team. The Gold Standard is highly transparent and ensures that its projects feature the highest levels of environmental integrity and contribute to sustainable development. 

 
  Should you win the lottery, please enter your donation amount using the slider below: - Donationsbeløb (i kroner)"
Q147_First,q147_first,Q147_First: Timing - First Click
Q147_Last,q147_last,Q147_Last: Timing - Last Click
duration_burden_sharing,duration_burden_sharing,duration_burden_sharing: Timing - Page Submit
Q147_Click,q147_click,Q147_Click: Timing - Click Count
scale_global,scale_global,scale_global: At which level(s) do you think public policies to tackle climate change need to be put in place? (Multiple answers are possible) - Global
scale_federal,scale_federal,scale_federal: At which level(s) do you think public policies to tackle climate change need to be put in place? (Multiple answers are possible) - European
scale_state,scale_state,scale_state: At which level(s) do you think public policies to tackle climate change need to be put in place? (Multiple answers are possible) - National
scale_local,scale_local,scale_local: At which level(s) do you think public policies to tackle climate change need to be put in place? (Multiple answers are possible) - Local
should_fight_CC,should_fight_cc,
if_other_do_more,if_other_do_more,
if_other_do_less,if_other_do_less,
global_assembly_support,global_assembly_support,
global_tax_support,global_tax_support,
tax_1p_support,tax_1p_support,
will_insulate,will_insulate,
obstacles_insulation_cannot,obstacles_insulation_cannot,obstacles_insulation_cannot: What are the main hurdles preventing you from improving the insulation or replace the heating system of your accommodation? (Multiple answers are possible) - The choice to insulate or replace the heating system is not mine
obstacles_insulation_cost,obstacles_insulation_cost,obstacles_insulation_cost: What are the main hurdles preventing you from improving the insulation or replace the heating system of your accommodation? (Multiple answers are possible) - The upfront costs are too high
obstacles_insulation_effort,obstacles_insulation_effort,obstacles_insulation_effort: What are the main hurdles preventing you from improving the insulation or replace the heating system of your accommodation? (Multiple answers are possible) - It is too much effort
obstacles_insulation_useless,obstacles_insulation_useless,obstacles_insulation_useless: What are the main hurdles preventing you from improving the insulation or replace the heating system of your accommodation? (Multiple answers are possible) - It won't improve its energy efficiency
obstacles_insulation_satisfactory,obstacles_insulation_satisfa_254,obstacles_insulation_satisfactory: What are the main hurdles preventing you from improving the insulation or replace the heating system of your accommodation? (Multiple answers are possible) - My insulation and heating systems are already satisfactory
insulation_mandatory_support_no_priming,insulation_mandatory_support_255,
insulation_mandatory_support_priming,insulation_mandatory_support_256,
beef_tax_support,beef_tax_support,
beef_subsidies_vegetables_support,beef_subsidies_vegetables_su_258,
beef_subsidies_removal_support,beef_subsidies_removal_suppo_259,
beef_ban_intensive_support,beef_ban_intensive_support,
beef_order_tax_support,beef_order_tax_support,"beef_order_tax_support: Imagine that, in order to fight climate change, [Country] government decides to limit the consumption of cattle products like beef and dairy.



Do you support or oppose the following options? - Display Order - A high tax on cattle products, so that the price of beef doubles"
beef_order_subsidies_vegetables_support,beef_order_subsidies_vegetab_262,"beef_order_subsidies_vegetables_support: Imagine that, in order to fight climate change, [Country] government decides to limit the consumption of cattle products like beef and dairy.



Do you support or oppose the following options? - Display Order - Subsidies on organic and local vegetables, fruits, and nuts"
beef_order_subsidies_removal_support,beef_order_subsidies_removal_263,"beef_order_subsidies_removal_support: Imagine that, in order to fight climate change, [Country] government decides to limit the consumption of cattle products like beef and dairy.



Do you support or oppose the following options? - Display Order - The removal of subsidies for cattle farming"
beef_order_ban_intensive_support,beef_order_ban_intensive_sup_264,"beef_order_ban_intensive_support: Imagine that, in order to fight climate change, [Country] government decides to limit the consumption of cattle products like beef and dairy.



Do you support or oppose the following options? - Display Order - The ban of intensive cattle farming"
can_trust_people,can_trust_people,
can_trust_govt,can_trust_govt,
view_govt,view_govt,
problem_inequality,problem_inequality,
future_richness,future_richness,
survey_biased,survey_biased,
comment_field,comment_field,"comment_field: The survey is nearing completion. You can now enter any comments, thoughts or suggestions in the field below."
petition,petition,
language,language,language: Q_Language
finished,finished,finished: Finished
excluded,excluded,excluded: Q_TerminateFlag
duration,duration,duration: Q_TotalDuration
urban_category,urban_category,urban_category: urban_category
treatment_climate,treatment_climate,
treatment_policy,treatment_policy,
winner_latent,winner_latent,winner_latent: winner_latent
winner,winner,winner: winner
affected_transport,affected_transport,affected_transport: Sum of activities for which a car or motorbike is used
attentive,attentive,
insulation_disruption_variant,insulation_disruption_varian_284,"insulation_disruption_variant: Random priming that insulation cause disruption: 'Insulating your home can take long, may cause disruptions to your daily life during the renovation works, and may even require you to leave your home until the renovation is completed.'"
insulation_support,insulation_support,
diploma,diploma,
employment_agg,employment_agg,
inactive,inactive,
sector,sector,"sector: What is the main activity of the company or organization where you work or have last worked? (For students, the question is not asked and sector = Student)"
which_polluting_sector,which_polluting_sector,
polluting_sector,polluting_sector,"polluting_sector: T/F whether sector is polluting (i.e. part of Oil, gas or cal/Cement/Construction/Automobile/Iron and steel/Chemical/Plastics/Pulp and paper/Farming/Air transport)"
vote,vote,
